run_ID,ave_velocity,d_p_cm,biomass_gm2,d_c,frontal_area_unit_volume,height,p_density,f_density,kin_viscosity_cm2,Re_c,c_density,radius_ratio
60_145,7,0.006,1000,0.489264759,0.032,10,2.65,1,0.00979,4.290091931,654.0426101,0.012263299
60_146,7,0.006,1000,0.489264759,0.033,10,2.65,1,0.00979,4.290091931,674.4814417,0.012263299
60_147,7,0.006,1000,0.489264759,0.034,10,2.65,1,0.00979,4.290091931,694.9202732,0.012263299
60_148,7,0.006,1000,0.489264759,0.035,10,2.65,1,0.00979,4.290091931,715.3591048,0.012263299
60_149,7,0.006,1000,0.489264759,0.036,10,2.65,1,0.00979,4.290091931,735.7979363,0.012263299
60_150,7,0.006,1000,0.489264759,0.037,10,2.65,1,0.00979,4.290091931,756.2367679,0.012263299
60_151,7,0.006,1000,0.489264759,0.038,10,2.65,1,0.00979,4.290091931,776.6755995,0.012263299
60_152,7,0.006,1000,0.489264759,0.039,10,2.65,1,0.00979,4.290091931,797.114431,0.012263299
60_153,7,0.006,1000,0.489264759,0.04,10,2.65,1,0.00979,4.290091931,817.5532626,0.012263299
60_154,7,0.006,1000,0.489264759,0.041,10,2.65,1,0.00979,4.290091931,837.9920942,0.012263299
60_155,7,0.006,1000,0.489264759,0.042,10,2.65,1,0.00979,4.290091931,858.4309257,0.012263299
60_156,7,0.006,1000,0.489264759,0.043,10,2.65,1,0.00979,4.290091931,878.8697573,0.012263299
60_157,7,0.006,1000,0.489264759,0.044,10,2.65,1,0.00979,4.290091931,899.3085889,0.012263299
60_158,7,0.006,1000,0.489264759,0.045,10,2.65,1,0.00979,4.290091931,919.7474204,0.012263299
60_159,7,0.006,1000,0.489264759,0.046,10,2.65,1,0.00979,4.290091931,940.186252,0.012263299
60_160,7,0.006,1000,0.489264759,0.047,10,2.65,1,0.00979,4.290091931,960.6250836,0.012263299
60_161,7,0.006,1000,0.489264759,0.048,10,2.65,1,0.00979,4.290091931,981.0639151,0.012263299
60_162,7,0.006,1000,0.489264759,0.049,10,2.65,1,0.00979,4.290091931,1001.502747,0.012263299
60_163,7,0.006,1000,0.489264759,0.05,10,2.65,1,0.00979,4.290091931,1021.941578,0.012263299
60_164,7,0.006,1000,0.489264759,0.051,10,2.65,1,0.00979,4.290091931,1042.38041,0.012263299
60_165,7,0.006,1000,0.489264759,0.052,10,2.65,1,0.00979,4.290091931,1062.819241,0.012263299
60_166,7,0.006,1000,0.489264759,0.053,10,2.65,1,0.00979,4.290091931,1083.258073,0.012263299
60_167,7,0.006,1000,0.489264759,0.054,10,2.65,1,0.00979,4.290091931,1103.696905,0.012263299
60_168,7,0.006,1000,0.489264759,0.055,10,2.65,1,0.00979,4.290091931,1124.135736,0.012263299
60_169,7,0.006,1000,0.489264759,0.056,10,2.65,1,0.00979,4.290091931,1144.574568,0.012263299
60_170,7,0.006,1000,0.489264759,0.057,10,2.65,1,0.00979,4.290091931,1165.013399,0.012263299
60_171,7,0.006,1000,0.489264759,0.058,10,2.65,1,0.00979,4.290091931,1185.452231,0.012263299
60_172,7,0.006,1000,0.489264759,0.059,10,2.65,1,0.00979,4.290091931,1205.891062,0.012263299
60_173,7,0.006,1000,0.489264759,0.06,10,2.65,1,0.00979,4.290091931,1226.329894,0.012263299
60_174,7,0.006,1000,0.489264759,0.061,10,2.65,1,0.00979,4.290091931,1246.768725,0.012263299
60_175,7,0.006,1000,0.489264759,0.062,10,2.65,1,0.00979,4.290091931,1267.207557,0.012263299
60_176,7,0.006,1000,0.489264759,0.063,10,2.65,1,0.00979,4.290091931,1287.646389,0.012263299
60_177,7,0.006,1000,0.489264759,0.064,10,2.65,1,0.00979,4.290091931,1308.08522,0.012263299
60_178,7,0.006,1000,0.489264759,0.065,10,2.65,1,0.00979,4.290091931,1328.524052,0.012263299
60_179,7,0.006,1000,0.489264759,0.066,10,2.65,1,0.00979,4.290091931,1348.962883,0.012263299
60_180,7,0.006,1000,0.489264759,0.067,10,2.65,1,0.00979,4.290091931,1369.401715,0.012263299
60_181,7,0.006,1000,0.489264759,0.068,10,2.65,1,0.00979,4.290091931,1389.840546,0.012263299
60_182,7,0.006,1000,0.489264759,0.069,10,2.65,1,0.00979,4.290091931,1410.279378,0.012263299
60_183,7,0.006,1000,0.489264759,0.07,10,2.65,1,0.00979,4.290091931,1430.71821,0.012263299
60_184,8,0.006,1000,0.489264759,0.01,10,2.65,1,0.00979,4.902962206,204.3883157,0.012263299
60_185,8,0.006,1000,0.489264759,0.011,10,2.65,1,0.00979,4.902962206,224.8271472,0.012263299
60_186,8,0.006,1000,0.489264759,0.012,10,2.65,1,0.00979,4.902962206,245.2659788,0.012263299
60_187,8,0.006,1000,0.489264759,0.013,10,2.65,1,0.00979,4.902962206,265.7048103,0.012263299
60_188,8,0.006,1000,0.489264759,0.014,10,2.65,1,0.00979,4.902962206,286.1436419,0.012263299
60_189,8,0.006,1000,0.489264759,0.015,10,2.65,1,0.00979,4.902962206,306.5824735,0.012263299
60_190,8,0.006,1000,0.489264759,0.016,10,2.65,1,0.00979,4.902962206,327.021305,0.012263299
60_191,8,0.006,1000,0.489264759,0.017,10,2.65,1,0.00979,4.902962206,347.4601366,0.012263299
60_192,8,0.006,1000,0.489264759,0.018,10,2.65,1,0.00979,4.902962206,367.8989682,0.012263299
60_193,8,0.006,1000,0.489264759,0.019,10,2.65,1,0.00979,4.902962206,388.3377997,0.012263299
60_194,8,0.006,1000,0.489264759,0.02,10,2.65,1,0.00979,4.902962206,408.7766313,0.012263299
60_195,8,0.006,1000,0.489264759,0.021,10,2.65,1,0.00979,4.902962206,429.2154629,0.012263299
60_196,8,0.006,1000,0.489264759,0.022,10,2.65,1,0.00979,4.902962206,449.6542944,0.012263299
60_197,8,0.006,1000,0.489264759,0.023,10,2.65,1,0.00979,4.902962206,470.093126,0.012263299
60_198,8,0.006,1000,0.489264759,0.024,10,2.65,1,0.00979,4.902962206,490.5319576,0.012263299
60_199,8,0.006,1000,0.489264759,0.025,10,2.65,1,0.00979,4.902962206,510.9707891,0.012263299
60_200,8,0.006,1000,0.489264759,0.026,10,2.65,1,0.00979,4.902962206,531.4096207,0.012263299
60_201,8,0.006,1000,0.489264759,0.027,10,2.65,1,0.00979,4.902962206,551.8484523,0.012263299
60_202,8,0.006,1000,0.489264759,0.028,10,2.65,1,0.00979,4.902962206,572.2872838,0.012263299
60_203,8,0.006,1000,0.489264759,0.029,10,2.65,1,0.00979,4.902962206,592.7261154,0.012263299
60_204,8,0.006,1000,0.489264759,0.03,10,2.65,1,0.00979,4.902962206,613.164947,0.012263299
60_205,8,0.006,1000,0.489264759,0.031,10,2.65,1,0.00979,4.902962206,633.6037785,0.012263299
60_206,8,0.006,1000,0.489264759,0.032,10,2.65,1,0.00979,4.902962206,654.0426101,0.012263299
60_207,8,0.006,1000,0.489264759,0.033,10,2.65,1,0.00979,4.902962206,674.4814417,0.012263299
60_208,8,0.006,1000,0.489264759,0.034,10,2.65,1,0.00979,4.902962206,694.9202732,0.012263299
60_209,8,0.006,1000,0.489264759,0.035,10,2.65,1,0.00979,4.902962206,715.3591048,0.012263299
60_210,8,0.006,1000,0.489264759,0.036,10,2.65,1,0.00979,4.902962206,735.7979363,0.012263299
60_211,8,0.006,1000,0.489264759,0.037,10,2.65,1,0.00979,4.902962206,756.2367679,0.012263299
60_212,8,0.006,1000,0.489264759,0.038,10,2.65,1,0.00979,4.902962206,776.6755995,0.012263299
60_213,8,0.006,1000,0.489264759,0.039,10,2.65,1,0.00979,4.902962206,797.114431,0.012263299
60_214,8,0.006,1000,0.489264759,0.04,10,2.65,1,0.00979,4.902962206,817.5532626,0.012263299
60_215,8,0.006,1000,0.489264759,0.041,10,2.65,1,0.00979,4.902962206,837.9920942,0.012263299
60_216,8,0.006,1000,0.489264759,0.042,10,2.65,1,0.00979,4.902962206,858.4309257,0.012263299
60_217,8,0.006,1000,0.489264759,0.043,10,2.65,1,0.00979,4.902962206,878.8697573,0.012263299
60_218,8,0.006,1000,0.489264759,0.044,10,2.65,1,0.00979,4.902962206,899.3085889,0.012263299
60_219,8,0.006,1000,0.489264759,0.045,10,2.65,1,0.00979,4.902962206,919.7474204,0.012263299
60_220,8,0.006,1000,0.489264759,0.046,10,2.65,1,0.00979,4.902962206,940.186252,0.012263299
60_221,8,0.006,1000,0.489264759,0.047,10,2.65,1,0.00979,4.902962206,960.6250836,0.012263299
60_222,8,0.006,1000,0.489264759,0.048,10,2.65,1,0.00979,4.902962206,981.0639151,0.012263299
60_223,8,0.006,1000,0.489264759,0.049,10,2.65,1,0.00979,4.902962206,1001.502747,0.012263299
60_224,8,0.006,1000,0.489264759,0.05,10,2.65,1,0.00979,4.902962206,1021.941578,0.012263299
60_225,8,0.006,1000,0.489264759,0.051,10,2.65,1,0.00979,4.902962206,1042.38041,0.012263299
60_226,8,0.006,1000,0.489264759,0.052,10,2.65,1,0.00979,4.902962206,1062.819241,0.012263299
60_227,8,0.006,1000,0.489264759,0.053,10,2.65,1,0.00979,4.902962206,1083.258073,0.012263299
60_228,8,0.006,1000,0.489264759,0.054,10,2.65,1,0.00979,4.902962206,1103.696905,0.012263299
60_229,8,0.006,1000,0.489264759,0.055,10,2.65,1,0.00979,4.902962206,1124.135736,0.012263299
60_230,8,0.006,1000,0.489264759,0.056,10,2.65,1,0.00979,4.902962206,1144.574568,0.012263299
60_231,8,0.006,1000,0.489264759,0.057,10,2.65,1,0.00979,4.902962206,1165.013399,0.012263299
60_232,8,0.006,1000,0.489264759,0.058,10,2.65,1,0.00979,4.902962206,1185.452231,0.012263299
60_233,8,0.006,1000,0.489264759,0.059,10,2.65,1,0.00979,4.902962206,1205.891062,0.012263299
60_234,8,0.006,1000,0.489264759,0.06,10,2.65,1,0.00979,4.902962206,1226.329894,0.012263299
60_235,8,0.006,1000,0.489264759,0.061,10,2.65,1,0.00979,4.902962206,1246.768725,0.012263299
60_236,8,0.006,1000,0.489264759,0.062,10,2.65,1,0.00979,4.902962206,1267.207557,0.012263299
60_237,8,0.006,1000,0.489264759,0.063,10,2.65,1,0.00979,4.902962206,1287.646389,0.012263299
