run_ID,paper,Re_c,Calc_Re,d_c,r_c,biofilm,growth_days,growth_cat,c_type,frontal_area,frontal_area_unit_volume,height,eta_not,eta,particle_type,p_density,d_p_cm,d_p_um,f_density,c_density,ave_velocity_cm,radius_ratio,kin_viscosity_cm2,diameter_m,velocity_m
7b13,Fauria_2014,55.16,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,14.7,,0.000728988,road dust,2.3,0.00099,9.9,1,7209,1.8,0.0033,9.79E-03,0.003,0.018
7b14,Fauria_2014,55.16,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,14.7,,0.000863272,road dust,2.3,0.00117,11.7,1,7209,1.8,0.0039,9.79E-03,0.003,0.018
7b15,Fauria_2014,55.16,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,14.7,,0.000963069,road dust,2.3,0.00138,13.8,1,7209,1.8,0.0046,9.79E-03,0.003,0.018
8a13,Fauria_2014,134.83,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,15.9,,0.000318213,road dust,2.3,0.00099,9.9,1,7209,4.4,0.0033,9.79E-03,0.003,0.044
8a14,Fauria_2014,134.83,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,15.9,,0.000396459,road dust,2.3,0.00117,11.7,1,7209,4.4,0.0039,9.79E-03,0.003,0.044
8a15,Fauria_2014,134.83,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,15.9,,0.000436525,road dust,2.3,0.00138,13.8,1,7209,4.4,0.0046,9.79E-03,0.003,0.044
8b13,Fauria_2014,134.83,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,15.8,,0.000202555,road dust,2.3,0.00099,9.9,1,7209,4.4,0.0033,9.79E-03,0.003,0.044
8b14,Fauria_2014,134.83,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,15.8,,0.000208646,road dust,2.3,0.00117,11.7,1,7209,4.4,0.0039,9.79E-03,0.003,0.044
8b15,Fauria_2014,134.83,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,15.8,,0.000183938,road dust,2.3,0.00138,13.8,1,7209,4.4,0.0046,9.79E-03,0.003,0.044
9a13,Fauria_2014,180.8,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,17,,0.000183289,road dust,2.3,0.00099,9.9,1,7209,5.9,0.0033,9.79E-03,0.003,0.059
9a14,Fauria_2014,180.8,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,17,,0.000240838,road dust,2.3,0.00117,11.7,1,7209,5.9,0.0039,9.79E-03,0.003,0.059
