"","run_ID","paper","eta","Re_c","frontal_area_unit_volume","height","d_c","d_p_cm","radius_ratio","ave_velocity_cm","kin_viscosity_cm2","f_density","c_density","L","J","logY","logX1","logX2","logX4","logX5","predlogeta"
"11","200128","ESDL",0.003336052,189.552,0.007544017,40,0.3175,0.002,0.006299213,6,0.00979,1,278,26.0352099501595,0.0023952253975,-5.70296720707714,5.2446633932124,-6.03427794085646,-5.0673305740228,3.25944985073289,-5.38333636241388
"12","200211","ESDL",0.001518392,126.368,0.021709402,40,0.3175,0.002,0.006299213,4,0.00979,1,800,24.6879422370385,0.006892735135,-6.49010339882639,4.83919828510424,-4.97728730103088,-5.0673305740228,3.20631495589993,-5.87317501449232
"13","200303","ESDL",0.001165441,63.184,0.039348291,40,0.3175,0.002,0.006299213,2,0.00979,1,1450,15.0503835641972,0.0124930823925,-6.75465572282042,4.14605110454429,-4.38258019646094,-5.0673305740228,2.71140347686329,-6.14685981666609
"14","200313","ESDL",0.000861881,126.368,0.039348291,40,0.3175,0.002,0.006299213,4,0.00979,1,1450,30.1007671283944,0.0124930823925,-7.05639334787459,4.83919828510424,-4.38258019646094,-5.0673305740228,3.40455065742324,-6.14972009838495
"15","16a","Fauria_2014",0.021835,0.01,0.054751899,14,0.3,0.0011,0.003666667,1.9,0.00979,1,7209,14.8001338925888,0.0164255697,-3.82424109204461,-4.60517018598809,-4.10891603028146,-5.60847220394279,2.69463622752569,-4.43063477590541
"16","16b","Fauria_2014",0.020729,0.01,0.054751899,14.3,0.3,0.0011,0.003666667,1.8,0.00979,1,7209,14.0211794771894,0.0164255697,-3.87622159296476,-4.60517018598809,-4.10891603028146,-5.60847220394279,2.64056900625541,-4.44272063945275
"17","17a","Fauria_2014",0.01721,0.01,0.054751899,15,0.3,0.0011,0.003666667,4.7,0.00979,1,7209,36.6108575237723,0.0164255697,-4.06226466875869,-4.60517018598809,-4.10891603028146,-5.60847220394279,3.60034485006931,-4.22817808276424
"18","17b","Fauria_2014",0.016968,0.01,0.054751899,15.1,0.3,0.0011,0.003666667,4.7,0.00979,1,7209,36.6108575237723,0.0164255697,-4.07642606171976,-4.60517018598809,-4.10891603028146,-5.60847220394279,3.60034485006931,-4.22817808276424
"19","18a","Fauria_2014",0.005292,0.02,0.054751899,16.7,0.3,0.0011,0.003666667,6,0.00979,1,7209,46.7372649239647,0.0164255697,-5.24155903272943,-3.91202300542815,-4.10891603028146,-5.60847220394279,3.84454181058135,-4.3313940138316
"20","18b","Fauria_2014",0.008628,0.02,0.054751899,16.7,0.3,0.0011,0.003666667,6,0.00979,1,7209,46.7372649239647,0.0164255697,-4.75274255045523,-3.91202300542815,-4.10891603028146,-5.60847220394279,3.84454181058135,-4.3313940138316
"21","7a","Fauria_2014",0.039096,0.01,0.054751899,14.7,0.3,0.0011,0.003666667,1.8,0.00979,1,7209,14.0211794771894,0.0164255697,-3.24173511901428,-4.60517018598809,-4.10891603028146,-5.60847220394279,2.64056900625541,-4.44272063945275
